ticker,industry,run_time
PTO,construction__materials,2024-06-19 01:07:47
SHG,construction__materials,2024-06-19 01:07:47
SDE,construction__materials,2024-06-19 01:07:47
SJE,construction__materials,2024-06-19 01:07:47
TED,construction__materials,2024-06-19 01:07:47
TEL,construction__materials,2024-06-19 01:07:47
E12,construction__materials,2024-06-19 01:07:47
TDF,construction__materials,2024-06-19 01:07:47
VE9,construction__materials,2024-06-19 01:07:47
VPC,construction__materials,2024-06-19 01:07:47
TDI,construction__materials,2024-06-19 01:07:47
HT1,construction__materials,2024-06-19 01:07:47
L40,construction__materials,2024-06-19 01:07:47
JSC,construction__materials,2024-06-19 01:07:47
KCE,construction__materials,2024-06-19 01:07:47
KDM,construction__materials,2024-06-19 01:07:47
CTI,construction__materials,2024-06-19 01:07:47
CTN,construction__materials,2024-06-19 01:07:47
DC1,construction__materials,2024-06-19 01:07:47
GMX,construction__materials,2024-06-19 01:07:47
GH3,construction__materials,2024-06-19 01:07:47
HC1,construction__materials,2024-06-19 01:07:47
HMS,construction__materials,2024-06-19 01:07:47
HNC,construction__materials,2024-06-19 01:07:47
NXT,construction__materials,2024-06-19 01:07:47
DFF,construction__materials,2024-06-19 01:07:47
LBM,construction__materials,2024-06-19 01:07:47
LCC,construction__materials,2024-06-19 01:07:47
LIC,construction__materials,2024-06-19 01:07:47
TNM,construction__materials,2024-06-19 01:07:47
VC1,construction__materials,2024-06-19 01:07:47
VC6,construction__materials,2024-06-19 01:07:47
MBG,construction__materials,2024-06-19 01:07:47
TVA,construction__materials,2024-06-19 01:07:47
SVN,construction__materials,2024-06-19 01:07:47
B82,construction__materials,2024-06-19 01:07:47
CMD,construction__materials,2024-06-19 01:07:47
CEG,construction__materials,2024-06-19 01:07:47
C12,construction__materials,2024-06-19 01:07:47
MCT,construction__materials,2024-06-19 01:07:47
CVT,construction__materials,2024-06-19 01:07:47
CX8,construction__materials,2024-06-19 01:07:47
ICN,construction__materials,2024-06-19 01:07:47
SD5,construction__materials,2024-06-19 01:07:47
SD7,construction__materials,2024-06-19 01:07:47
PXK,construction__materials,2024-06-19 01:07:47
VCG,construction__materials,2024-06-19 01:07:47
SIG,construction__materials,2024-06-19 01:07:47
VCS,construction__materials,2024-06-19 01:07:47
PX1,construction__materials,2024-06-19 01:07:47
VE1,construction__materials,2024-06-19 01:07:47
VE2,construction__materials,2024-06-19 01:07:47
PXT,construction__materials,2024-06-19 01:07:47
QCC,construction__materials,2024-06-19 01:07:47
PFL,construction__materials,2024-06-19 01:07:47
VHL,construction__materials,2024-06-19 01:07:47
TRT,construction__materials,2024-06-19 01:07:47
CSC,construction__materials,2024-06-19 01:07:47
GTS,construction__materials,2024-06-19 01:07:47
DCT,construction__materials,2024-06-19 01:07:47
DHA,construction__materials,2024-06-19 01:07:47
DAL,construction__materials,2024-06-19 01:07:47
DSG,construction__materials,2024-06-19 01:07:47
DXV,construction__materials,2024-06-19 01:07:47
FCN,construction__materials,2024-06-19 01:07:47
SCG,construction__materials,2024-06-19 01:07:47
XDC,construction__materials,2024-06-19 01:07:47
KTT,construction__materials,2024-06-19 01:07:47
MEC,construction__materials,2024-06-19 01:07:47
VTS,construction__materials,2024-06-19 01:07:47
TL4,construction__materials,2024-06-19 01:07:47
TLT,construction__materials,2024-06-19 01:07:47
USC,construction__materials,2024-06-19 01:07:47
BUD,construction__materials,2024-06-19 01:07:47
VC9,construction__materials,2024-06-19 01:07:47
VMI,construction__materials,2024-06-19 01:07:47
VTA,construction__materials,2024-06-19 01:07:47
TXM,construction__materials,2024-06-19 01:07:47
DVG,construction__materials,2024-06-19 01:07:47
S99,construction__materials,2024-06-19 01:07:47
DX2,construction__materials,2024-06-19 01:07:47
TS3,construction__materials,2024-06-19 01:07:47
C92,construction__materials,2024-06-19 01:07:47
ALV,construction__materials,2024-06-19 01:07:47
ATB,construction__materials,2024-06-19 01:07:47
CII,construction__materials,2024-06-19 01:07:47
CYC,construction__materials,2024-06-19 01:07:47
DAC,construction__materials,2024-06-19 01:07:47
CC1,construction__materials,2024-06-19 01:07:47
BT6,construction__materials,2024-06-19 01:07:47
PSG,construction__materials,2024-06-19 01:07:47
PTC,construction__materials,2024-06-19 01:07:47
PTD,construction__materials,2024-06-19 01:07:47
TCR,construction__materials,2024-06-19 01:07:47
SD9,construction__materials,2024-06-19 01:07:47
SDB,construction__materials,2024-06-19 01:07:47
SDD,construction__materials,2024-06-19 01:07:47
DTD,construction__materials,2024-06-19 01:07:47
NHC,construction__materials,2024-06-19 01:07:47
VIH,construction__materials,2024-06-19 01:07:47
CGV,construction__materials,2024-06-19 01:07:47
PEN,construction__materials,2024-06-19 01:07:47
PVX,construction__materials,2024-06-19 01:07:47
PXM,construction__materials,2024-06-19 01:07:47
QTC,construction__materials,2024-06-19 01:07:47
INC,construction__materials,2024-06-19 01:07:47
HUT,construction__materials,2024-06-19 01:07:47
ICI,construction__materials,2024-06-19 01:07:47
KHL,construction__materials,2024-06-19 01:07:47
CNN,construction__materials,2024-06-19 01:07:47
CPW,construction__materials,2024-06-19 01:07:47
CT3,construction__materials,2024-06-19 01:07:47
DIH,construction__materials,2024-06-19 01:07:47
DC4,construction__materials,2024-06-19 01:07:47
DTJ,construction__materials,2024-06-19 01:07:47
DND,construction__materials,2024-06-19 01:07:47
ROS,construction__materials,2024-06-19 01:07:47
HAN,construction__materials,2024-06-19 01:07:47
HBC,construction__materials,2024-06-19 01:07:47
HDA,construction__materials,2024-06-19 01:07:47
VVN,construction__materials,2024-06-19 01:07:47
CLH,construction__materials,2024-06-19 01:07:47
UDJ,construction__materials,2024-06-19 01:07:47
BTS,construction__materials,2024-06-19 01:07:47
BTD,construction__materials,2024-06-19 01:07:47
VIT,construction__materials,2024-06-19 01:07:47
VCC,construction__materials,2024-06-19 01:07:47
GND,construction__materials,2024-06-19 01:07:47
TV3,construction__materials,2024-06-19 01:07:47
TA6,construction__materials,2024-06-19 01:07:47
PID,construction__materials,2024-06-19 01:07:47
SDP,construction__materials,2024-06-19 01:07:47
S96,construction__materials,2024-06-19 01:07:47
MT9,construction__materials,2024-06-19 01:07:47
CEE,construction__materials,2024-06-19 01:07:47
ACS,construction__materials,2024-06-19 01:07:47
ADP,construction__materials,2024-06-19 01:07:47
CIG,construction__materials,2024-06-19 01:07:47
CTX,construction__materials,2024-06-19 01:07:47
CNT,construction__materials,2024-06-19 01:07:47
BOT,construction__materials,2024-06-19 01:07:47
PSB,construction__materials,2024-06-19 01:07:47
SCJ,construction__materials,2024-06-19 01:07:47
SD4,construction__materials,2024-06-19 01:07:47
SD8,construction__materials,2024-06-19 01:07:47
SJM,construction__materials,2024-06-19 01:07:47
PVH,construction__materials,2024-06-19 01:07:47
PCC,construction__materials,2024-06-19 01:07:47
PCM,construction__materials,2024-06-19 01:07:47
PDB,construction__materials,2024-06-19 01:07:47
CQT,construction__materials,2024-06-19 01:07:47
VE3,construction__materials,2024-06-19 01:07:47
VE8,construction__materials,2024-06-19 01:07:47
QLD,construction__materials,2024-06-19 01:07:47
TTB,construction__materials,2024-06-19 01:07:47
HUB,construction__materials,2024-06-19 01:07:47
HSP,construction__materials,2024-06-19 01:07:47
KSK,construction__materials,2024-06-19 01:07:47
CTA,construction__materials,2024-06-19 01:07:47
CTR,construction__materials,2024-06-19 01:07:47
DTC,construction__materials,2024-06-19 01:07:47
DLR,construction__materials,2024-06-19 01:07:47
DLA,construction__materials,2024-06-19 01:07:47
E29,construction__materials,2024-06-19 01:07:47
XD4,construction__materials,2024-06-19 01:07:47
EVG,construction__materials,2024-06-19 01:07:47
DDB,construction__materials,2024-06-19 01:07:47
RCC,construction__materials,2024-06-19 01:07:47
LIG,construction__materials,2024-06-19 01:07:47
MCC,construction__materials,2024-06-19 01:07:47
MDG,construction__materials,2024-06-19 01:07:47
NAV,construction__materials,2024-06-19 01:07:47
BCO,construction__materials,2024-06-19 01:07:47
BGT,construction__materials,2024-06-19 01:07:47
VC5,construction__materials,2024-06-19 01:07:47
YBC,construction__materials,2024-06-19 01:07:47
HGC,construction__materials,2024-06-19 01:07:47
S12,construction__materials,2024-06-19 01:07:47
SDT,construction__materials,2024-06-19 01:07:47
BHC,construction__materials,2024-06-19 01:07:47
C69,construction__materials,2024-06-19 01:07:47
BHT,construction__materials,2024-06-19 01:07:47
HFB,construction__materials,2024-06-19 01:07:47
CDC,construction__materials,2024-06-19 01:07:47
BMP,construction__materials,2024-06-19 01:07:47
CDO,construction__materials,2024-06-19 01:07:47
CEC,construction__materials,2024-06-19 01:07:47
VLB,construction__materials,2024-06-19 01:07:47
CMI,construction__materials,2024-06-19 01:07:47
TVH,construction__materials,2024-06-19 01:07:47
BTC,construction__materials,2024-06-19 01:07:47
SBM,construction__materials,2024-06-19 01:07:47
